var,是否合格,过217面积,最大斜率,峰值温度,150°C~190°C时间,大于217°C时间
225.0,1.0,17066.363,2.811798,241.52481,118.0,73.0
226.0,1.0,17188.125,2.8126526,241.6482,118.0,73.5
227.0,1.0,17310.043,2.813507,241.77156,118.0,74.0
228.0,1.0,17432.117,2.814331,241.89615,117.5,74.5
229.0,1.0,17554.348,2.8151855,242.0209,117.5,75.0
230.0,1.0,17785.035,2.81604,242.14565,117.0,76.0
231.0,1.0,17907.637,2.8168945,242.2704,117.0,76.5
232.0,1.0,18030.414,2.8177185,242.39516,117.0,77.0
233.0,1.0,18153.365,2.818573,242.5199,116.5,77.5
234.0,1.0,18276.5,2.8194275,242.64465,116.5,78.0
235.0,1.0,18399.816,2.8203125,242.7694,116.5,78.5
236.0,1.0,18414.73,2.821167,242.89413,116.5,78.5
237.0,1.0,18538.438,2.821991,243.01889,116.0,79.0
238.0,1.0,18662.346,2.8228455,243.14365,116.0,79.5
239.0,1.0,18786.451,2.8237,243.26839,116.0,80.0
240.0,1.0,18910.762,2.824524,243.39314,116.0,80.5
241.0,1.0,19035.285,2.8253784,243.51788,115.5,81.0
242.0,1.0,19160.02,2.826233,243.64264,115.5,81.5
243.0,1.0,19393.256,2.8270874,243.7674,115.5,82.5
244.0,1.0,19518.47,2.827942,243.89305,115.5,83.0
